Date: 2024-10-07 02:33:21, Action: walking
Date: 2024-10-07 02:33:22, Action: running
Date: 2024-10-07 02:33:22, Action: walking
Date: 2024-10-07 02:33:22, Action: running
Date: 2024-10-07 02:33:22, Action: walking
Date: 2024-10-07 02:33:24, Action: hand waving
Date: 2024-10-07 02:33:25, Action: walking
Date: 2024-10-07 02:33:35, Action: hand waving
Date: 2024-10-07 02:33:35, Action: running
Date: 2024-10-07 02:33:36, Action: walking
Date: 2024-10-07 02:33:37, Action: running
Date: 2024-10-07 02:33:37, Action: walking
Date: 2024-10-07 02:33:40, Action: hand waving
Date: 2024-10-07 02:33:40, Action: walking
Date: 2024-10-07 02:33:41, Action: hand waving
Date: 2024-10-07 02:33:41, Action: walking
Date: 2024-10-07 02:33:51, Action: running
Date: 2024-10-07 02:33:51, Action: walking
Date: 2024-10-07 02:33:53, Action: running
Date: 2024-10-07 02:33:53, Action: walking
Date: 2024-10-07 02:33:53, Action: running
Date: 2024-10-07 02:33:53, Action: jogging
Date: 2024-10-07 02:33:53, Action: running
Date: 2024-10-07 02:33:54, Action: walking
Date: 2024-10-07 02:33:54, Action: running
Date: 2024-10-07 02:33:54, Action: jogging
Date: 2024-10-07 02:33:54, Action: running
Date: 2024-10-07 02:33:54, Action: walking
Date: 2024-10-07 02:33:56, Action: running
Date: 2024-10-07 02:33:56, Action: walking
Date: 2024-10-07 02:34:15, Action: running
Date: 2024-10-07 02:34:15, Action: walking
Date: 2024-10-07 02:34:17, Action: hand waving
Date: 2024-10-07 02:34:17, Action: walking
Date: 2024-10-07 02:34:20, Action: hand clapping
Date: 2024-10-07 02:34:20, Action: walking
Date: 2024-10-07 02:34:20, Action: running
Date: 2024-10-07 02:34:21, Action: walking
Date: 2024-10-07 02:34:21, Action: running
Date: 2024-10-07 02:34:21, Action: walking
Date: 2024-10-07 02:34:21, Action: running
Date: 2024-10-07 02:34:21, Action: walking
Date: 2024-10-07 02:34:40, Action: hand waving
Date: 2024-10-07 02:34:40, Action: boxing
Date: 2024-10-07 02:34:40, Action: walking
Date: 2024-10-07 02:34:40, Action: running
Date: 2024-10-07 02:34:41, Action: walking
Date: 2024-10-07 02:34:48, Action: hand waving
Date: 2024-10-07 02:34:49, Action: running
Date: 2024-10-07 02:34:49, Action: jogging
Date: 2024-10-07 02:34:50, Action: walking
Date: 2024-10-07 02:34:51, Action: running
Date: 2024-10-07 02:34:51, Action: walking
Date: 2024-10-07 02:34:52, Action: hand waving
Date: 2024-10-07 02:34:52, Action: walking
Date: 2024-10-07 02:34:52, Action: hand waving
Date: 2024-10-07 02:34:52, Action: walking
Date: 2024-10-07 02:34:56, Action: running
Date: 2024-10-07 02:34:56, Action: walking
Date: 2024-10-07 02:34:57, Action: running
Date: 2024-10-07 02:34:57, Action: walking
Date: 2024-10-07 02:34:59, Action: running
Date: 2024-10-07 02:34:59, Action: walking
Date: 2024-10-07 02:35:01, Action: running
Date: 2024-10-07 02:35:02, Action: jogging
Date: 2024-10-07 02:35:02, Action: walking
Date: 2024-10-07 02:35:02, Action: jogging
Date: 2024-10-07 02:35:02, Action: walking
Date: 2024-10-07 02:35:02, Action: running
Date: 2024-10-07 02:35:02, Action: jogging
Date: 2024-10-07 02:35:03, Action: running
Date: 2024-10-07 02:35:03, Action: walking
Date: 2024-10-07 02:35:06, Action: jogging
Date: 2024-10-07 02:35:06, Action: running
Date: 2024-10-07 02:35:06, Action: walking
Date: 2024-10-07 02:35:09, Action: running
Date: 2024-10-07 02:35:09, Action: walking
Date: 2024-10-07 02:35:09, Action: running
Date: 2024-10-07 02:35:09, Action: walking
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:10, Action: jogging
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:10, Action: walking
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:10, Action: walking
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:10, Action: walking
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:10, Action: walking
Date: 2024-10-07 02:35:10, Action: running
Date: 2024-10-07 02:35:11, Action: walking
Date: 2024-10-07 02:35:12, Action: running
Date: 2024-10-07 02:35:12, Action: walking
Date: 2024-10-07 02:35:14, Action: running
Date: 2024-10-07 02:35:14, Action: walking
Date: 2024-10-07 02:35:17, Action: running
Date: 2024-10-07 02:35:18, Action: walking
Date: 2024-10-07 02:35:23, Action: running
Date: 2024-10-07 02:35:23, Action: walking
Date: 2024-10-07 02:35:23, Action: jogging
Date: 2024-10-07 02:35:23, Action: walking
Date: 2024-10-07 02:35:25, Action: running
Date: 2024-10-07 02:35:25, Action: walking
Date: 2024-10-09 16:38:47, Action: walking
Date: 2024-10-09 16:38:48, Action: jogging
Date: 2024-10-09 16:38:48, Action: walking
Date: 2024-10-09 16:38:51, Action: running
Date: 2024-10-09 16:38:51, Action: jogging
Date: 2024-10-09 16:38:52, Action: walking
Date: 2024-10-09 16:38:52, Action: running
Date: 2024-10-09 16:38:52, Action: walking
Date: 2024-10-09 16:38:54, Action: running
Date: 2024-10-09 16:38:54, Action: jogging
Date: 2024-10-09 16:38:54, Action: running
Date: 2024-10-09 16:38:54, Action: jogging
Date: 2024-10-09 16:38:54, Action: walking
Date: 2024-10-09 16:38:55, Action: running
Date: 2024-10-09 16:38:55, Action: jogging
Date: 2024-10-09 16:38:55, Action: running
Date: 2024-10-09 16:38:55, Action: walking
Date: 2024-10-09 16:38:58, Action: running
Date: 2024-10-09 16:38:58, Action: walking
Date: 2024-10-09 16:39:16, Action: walking
Date: 2024-10-09 16:39:17, Action: running
Date: 2024-10-09 16:39:17, Action: walking
Date: 2024-10-09 16:39:17, Action: running
Date: 2024-10-09 16:39:20, Action: jogging
Date: 2024-10-09 16:39:20, Action: running
Date: 2024-10-09 16:39:24, Action: walking
Date: 2024-10-09 16:39:41, Action: walking
Date: 2024-10-09 16:39:46, Action: jogging
Date: 2024-10-09 16:39:46, Action: running
Date: 2024-10-09 16:39:47, Action: walking
Date: 2024-10-09 16:39:48, Action: running
Date: 2024-10-09 16:39:48, Action: walking
Date: 2024-10-09 16:39:48, Action: running
Date: 2024-10-09 16:39:49, Action: walking
Date: 2024-10-09 16:39:49, Action: jogging
Date: 2024-10-09 16:39:49, Action: running
Date: 2024-10-09 16:39:49, Action: walking
Date: 2024-10-09 16:39:49, Action: running
Date: 2024-10-09 16:39:50, Action: jogging
Date: 2024-10-09 16:39:51, Action: walking
Date: 2024-10-09 16:39:54, Action: jogging
Date: 2024-10-09 16:39:54, Action: running
Date: 2024-10-09 16:39:55, Action: walking
Date: 2024-10-09 16:39:59, Action: jogging
Date: 2024-10-09 16:39:59, Action: walking
Date: 2024-10-09 16:39:59, Action: jogging
Date: 2024-10-09 16:39:59, Action: walking
Date: 2024-10-09 16:39:59, Action: jogging
Date: 2024-10-09 16:39:59, Action: walking
Date: 2024-10-09 16:39:59, Action: running
Date: 2024-10-09 16:39:59, Action: jogging
Date: 2024-10-09 16:39:59, Action: walking
